"78630e03a2cb3b70edec00869db163c07079d9bf,core/src/test/java/org/elasticsearch/common/settings/SettingsTests.java,SettingsTests.java,3,12139.440841729276,13,2,0,0,0,0,32,32,0,14,109,50,647,496,15,12154.326728720975,7,2,0,0,0,0,13,13,0,2,45,14,320,78,Rename Method,Rename Method	public testReplacePropertiesPlaceholderIgnores() : void renamed to public testReplacePropertiesPlaceholderIgnoresPrompt() : void in class org.elasticsearch.common.settings.SettingsTests"
"2cc97a0d3ed2a9276378e2a6462942deab04a1fb,core/src/test/java/org/elasticsearch/search/aggregations/metrics/cardinality/HyperLogLogPlusPlusTests.java,HyperLogLogPlusPlusTests.java,27,3840.4693572714405,5,2,0,0,0,0,6,5,0,1,24,20,119,15,26,3936.8718242349732,6,2,0,0,0,0,6,5,0,1,24,20,125,15,Rename Method,Rename Method	public encodeDecode() : void renamed to public testEncodeDecode() : void in class org.elasticsearch.search.aggregations.metrics.cardinality.HyperLogLogPlusPlusTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/action/search/MultiSearchRequestTests.java,MultiSearchRequestTests.java,21,10916.325480738124,12,2,0,0,0,0,10,8,0,1,32,10,185,45,22,11053.206937706787,11,2,0,0,0,0,6,6,0,5,27,6,169,15,Rename Method,Rename Method	public simpleAdd() : void renamed to public testSimpleAdd() : void in class org.elasticsearch.action.search.MultiSearchRequestTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/cluster/DiskUsageTests.java,DiskUsageTests.java,21,7051.221315650682,20,2,0,0,0,0,6,5,0,14,45,9,206,15,24,7117.33414634668,17,2,0,0,0,0,5,4,0,4,35,8,159,10,Rename Method,Rename Method	public diskUsageCalcTest() : void renamed to public testDiskUsageCalc() : void in class org.elasticsearch.cluster.DiskUsageTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/cluster/metadata/IndexNameExpressionResolverTests.java,IndexNameExpressionResolverTests.java,0,31219.779755905627,14,2,0,1,0,0,46,44,2,28,79,67,963,43,0,31726.290088455342,13,2,0,1,0,0,38,35,0,14,54,82,748,151,Rename Method,Rename Method	public testIndexOptions_strict() : void renamed to public testIndexOptionsStrict() : void in class org.elasticsearch.cluster.metadata.IndexNameExpressionResolverTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/cluster/node/DiscoveryNodeFiltersTests.java,DiscoveryNodeFiltersTests.java,18,7628.807213620797,13,2,0,1,0,1,20,19,3,61,25,22,236,34,19,7857.521515837304,10,2,0,1,0,1,17,16,2,20,18,18,226,26,Rename Method,Rename Method	public nameMatch() : void renamed to public testNameMatch() : void in class org.elasticsearch.cluster.node.DiscoveryNodeFiltersTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/cluster/routing/allocation/AllocationCommandsTests.java,AllocationCommandsTests.java,9,20907.36022885679,22,2,0,1,0,0,7,5,0,3,76,22,459,15,13,21039.443299290317,16,2,0,1,0,0,5,5,0,1,55,14,344,4,Rename Method,Rename Method	public moveShardCommand() : void renamed to public testMoveShardCommand() : void in class org.elasticsearch.cluster.routing.allocation.AllocationCommandsTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/cluster/routing/allocation/decider/DiskThresholdDeciderTests.java,DiskThresholdDeciderTests.java,0,43892.95509622649,33,2,0,0,0,0,11,10,0,23,70,24,903,171,0,44090.60426556757,34,2,0,0,0,0,11,10,1,27,59,30,902,351,Rename Method,Rename Method	public diskThresholdTest() : void renamed to public testDiskThreshold() : void in class org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDeciderTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/BooleansTests.java,BooleansTests.java,29,3122.5813393345734,2,2,0,2,0,2,8,8,0,0,26,14,110,22,33,3182.3115790571624,3,2,0,0,0,0,4,4,0,0,21,7,78,6,Rename Method,Rename Method	public parseBoolean() : void renamed to public testParseBoolean() : void in class org.elasticsearch.common.BooleansTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/lucene/search/MultiPhrasePrefixQueryTests.java,MultiPhrasePrefixQueryTests.java,39,1750.2980520293424,10,2,0,0,0,0,1,1,0,0,7,1,58,0,37,1714.5814028097648,13,2,0,0,0,0,2,2,0,0,11,2,72,1,Rename Method,Rename Method	public simpleTests() : void renamed to public testSimple() : void in class org.elasticsearch.common.lucene.search.MultiPhrasePrefixQueryTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/util/ArrayUtilsTests.java,ArrayUtilsTests.java,31,2618.5557518897876,2,2,0,0,0,0,4,2,0,9,18,21,90,6,30,2712.543885409864,3,2,0,0,0,0,4,2,0,9,18,21,98,6,Rename Method,Rename Method	public binarySearch() : void renamed to public testBinarySearch() : void in class org.elasticsearch.common.util.ArrayUtilsTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/util/CollectionUtilsTests.java,CollectionUtilsTests.java,23,4741.345846797165,6,2,0,0,0,0,9,9,0,25,32,25,162,36,23,4676.48857936731,7,2,0,0,0,0,9,9,0,25,32,25,160,36,Rename Method,Rename Method	public rotateEmpty() : void renamed to public testRotateEmpty() : void in class org.elasticsearch.common.util.CollectionUtilsTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/xcontent/builder/XContentBuilderTests.java,XContentBuilderTests.java,11,11192.156991721424,9,2,0,0,0,0,22,21,0,7,64,38,339,231,13,11472.0,11,2,0,0,0,0,18,17,0,4,61,31,316,153,Rename Method,Rename Method	public verifyReuseJsonGenerator() : void renamed to public testReuseJsonGenerator() : void in class org.elasticsearch.common.xcontent.builder.XContentBuilderTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/common/xcontent/support/XContentMapValuesTests.java,XContentMapValuesTests.java,8,22295.870423569326,7,3,0,0,0,0,18,16,1,10,56,30,412,153,7,22634.955375291374,4,2,0,0,0,0,17,17,0,11,52,31,484,136,Rename Method,Rename Method	public prefixedNamesFilteringTest() : void renamed to public testPrefixedNamesFilteringTest() : void in class org.elasticsearch.common.xcontent.support.XContentMapValuesTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/discovery/zen/ElectMasterServiceTests.java,ElectMasterServiceTests.java,26,2067.678225226443,8,2,0,0,0,0,9,6,0,7,43,32,137,36,31,2040.217549065706,6,2,0,0,0,0,4,2,0,1,22,23,91,6,Rename Method,Rename Method	public sortByMasterLikelihood() : void renamed to public testSortByMasterLikelihood() : void in class org.elasticsearch.discovery.zen.ElectMasterServiceTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/gateway/MetaStateServiceTests.java,MetaStateServiceTests.java,33,2306.742614322445,6,2,0,1,0,1,5,5,0,0,20,5,89,4,31,2402.803151093273,7,2,0,1,0,1,6,5,0,0,23,8,103,9,Rename Method,Rename Method	public tesLoadGlobal() : void renamed to public testLoadGlobal() : void in class org.elasticsearch.gateway.MetaStateServiceTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/index/query/GeoBoundingBoxQueryBuilderTests.java,GeoBoundingBoxQueryBuilderTests.java,8,11630.977264444096,20,6,0,3,0,1,35,31,0,0,65,54,375,589,8,11327.375361160108,21,7,0,3,0,1,33,29,0,12,53,56,369,522,Rename Method,Rename Method	public checkStrictnessDefault() : void renamed to public testStrictnessDefault() : void in class org.elasticsearch.index.query.GeoBoundingBoxQueryBuilderTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/index/query/functionscore/FunctionScoreQueryBuilderTests.java,FunctionScoreQueryBuilderTests.java,0,16434.447122643847,52,4,0,2,1,2,39,25,5,11,107,95,771,735,0,16178.786415817971,32,2,0,0,0,0,16,13,1,4,75,80,556,120,Rename Method,Rename Method	public testCustomWeightFactorQueryBuilder_withFunctionScore() : void renamed to public testCustomWeightFactorQueryBuilderWithFunctionScore() : void in class org.elasticsearch.index.query.functionscore.FunctionScoreQueryBuilderTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/index/search/geo/GeoUtilsTests.java,GeoUtilsTests.java,0,36872.91249612029,11,2,0,2,0,2,37,36,1,105,58,78,544,636,0,36032.731788464094,12,2,0,2,0,2,37,36,1,105,55,78,566,636,Rename Method,Rename Method	public testQuadTreeLevelsForPrecision_String() : void renamed to public testQuadTreeLevelsForPrecisionString() : void in class org.elasticsearch.index.search.geo.GeoUtilsTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/index/snapshots/blobstore/SlicedInputStreamTests.java,SlicedInputStreamTests.java,28,2869.8138059491916,4,4,0,1,1,0,5,2,0,0,21,19,118,13,28,2831.859647575963,5,4,0,1,1,0,5,3,0,0,21,19,116,13,Rename Method,Rename Method	public readRandom() : void renamed to public testReadRandom() : void in class org.elasticsearch.index.snapshots.blobstore.SlicedInputStreamTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/index/translog/TranslogTests.java,TranslogTests.java,0,44074.57104495203,62,7,0,20,0,0,91,68,2,114,331,424,2325,1711,0,43946.83479128332,30,2,0,8,0,1,36,28,1,39,183,173,1010,39,Rename Method,Rename Method	public deleteOnSnapshotRelease() : void renamed to public testDeleteOnSnapshotRelease() : void in class org.elasticsearch.index.translog.TranslogTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/indices/store/IndicesStoreTests.java,IndicesStoreTests.java,28,6828.008499126971,9,2,0,2,0,1,4,4,0,3,20,17,93,0,21,6899.505970322019,16,2,0,3,0,1,7,7,0,1,30,29,169,0,Rename Method,Rename Method	public testShardCanBeDeleted_noShardRouting() : void renamed to public testShardCanBeDeletedNoShardRouting() : void in class org.elasticsearch.indices.store.IndicesStoreTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/search/aggregations/bucket/significant/SignificanceHeuristicTests.java,SignificanceHeuristicTests.java,7,13540.929774077502,49,5,0,0,0,0,27,11,2,16,78,47,451,351,10,13812.392711673769,35,3,0,0,0,0,17,9,0,0,50,36,366,136,Rename Method,Rename Method	public streamResponse() : void renamed to public testStreamResponse() : void in class org.elasticsearch.search.aggregations.bucket.significant.SignificanceHeuristicTests"
"6e81b0dd7025fe10d49ade35b5852697ef39355e,core/src/test/java/org/elasticsearch/search/aggregations/metrics/cardinality/HyperLogLogPlusPlusTests.java,HyperLogLogPlusPlusTests.java,27,3840.4693572714405,5,2,0,0,0,0,6,5,0,1,24,20,119,15,26,3936.8718242349732,6,2,0,0,0,0,6,5,0,1,24,20,125,15,Rename Method,Rename Method	public encodeDecode() : void renamed to public testEncodeDecode() : void in class org.elasticsearch.search.aggregations.metrics.cardinality.HyperLogLogPlusPlusTests"
"eaffa975e540a939b69c99b8db7b9d4a9f45522d,core/src/test/java/org/elasticsearch/common/path/PathTrieTests.java,PathTrieTests.java,20,5878.986206460866,3,2,0,1,1,1,11,11,0,0,16,11,238,0,25,6092.005459458892,2,2,0,0,0,0,8,8,0,0,14,8,148,28,Rename Method,Rename Method	public testSplitPath() : void renamed to public testEscapedSlashWithinUrl() : void in class org.elasticsearch.common.path.PathTrieTests"
"52727264ef658fec1db401264626ee2a1b0edab1,core/src/test/java/org/elasticsearch/common/path/PathTrieTests.java,PathTrieTests.java,20,5902.064207940393,3,2,0,1,1,1,11,11,0,0,16,11,238,0,25,6115.170381469493,2,2,0,0,0,0,8,8,0,0,14,8,149,28,Rename Method,Rename Method	public testSplitPath() : void renamed to public testEscapedSlashWithinUrl() : void in class org.elasticsearch.common.path.PathTrieTests"
"892baabbfa71af6e7ad86fdddf010c1a4e780dee,core/src/test/java/org/elasticsearch/common/path/PathTrieTests.java,PathTrieTests.java,20,5902.064207940393,3,2,0,1,1,1,11,11,0,0,16,11,238,0,25,6115.170381469493,2,2,0,0,0,0,8,8,0,0,14,8,149,28,Rename Method,Rename Method	public testSplitPath() : void renamed to public testEscapedSlashWithinUrl() : void in class org.elasticsearch.common.path.PathTrieTests"
"b4d52fedb763ace94842368889c4b2fa5de69cee,core/src/test/java/org/elasticsearch/common/path/PathTrieTests.java,PathTrieTests.java,20,5902.064207940393,3,2,0,1,1,1,11,11,0,0,16,11,238,0,25,6115.170381469493,2,2,0,0,0,0,8,8,0,0,14,8,149,28,Rename Method,Rename Method	public testSplitPath() : void renamed to public testEscapedSlashWithinUrl() : void in class org.elasticsearch.common.path.PathTrieTests"
"b364cf54bfd95326c33f3592417253bec8e1aee8,core/src/test/java/org/elasticsearch/cluster/routing/RoutingTableTests.java,RoutingTableTests.java,12,17764.436559836264,19,2,0,10,0,3,17,14,1,7,77,31,316,0,16,12849.711689562728,12,2,0,11,0,3,14,11,0,0,49,24,246,0,Extract Method,Extract Method	private applyRerouteResult(rerouteResult RoutingAllocation.Result) : void extracted from private initPrimaries() : void in class org.elasticsearch.cluster.routing.RoutingTableTests"
"b364cf54bfd95326c33f3592417253bec8e1aee8,core/src/test/java/org/elasticsearch/cluster/routing/ShardRoutingTests.java,ShardRoutingTests.java,15,11787.69746122418,11,2,0,0,0,0,5,4,0,0,52,45,211,10,11,10505.52877612345,11,2,0,0,0,0,8,7,0,19,70,51,289,28,Rename Method,Rename Method	public testEqualsIgnoringVersion() : void renamed to public testEqualsIgnoringMetaData() : void in class org.elasticsearch.cluster.routing.ShardRoutingTests"
"b364cf54bfd95326c33f3592417253bec8e1aee8,core/src/test/java/org/elasticsearch/gateway/PrimaryShardAllocatorTests.java,PrimaryShardAllocatorTests.java,8,13415.072955221387,35,3,0,6,0,0,31,22,0,5,72,43,446,48,13,14299.45724413716,24,3,0,6,0,0,21,19,0,0,47,23,330,0,Rename Method,Rename Method	public testNoProcessPrimayNotAllcoatedBefore() : void renamed to public testNoProcessPrimaryNotAllocatedBefore() : void in class org.elasticsearch.gateway.PrimaryShardAllocatorTests"
"79329ddb7709691c1627614f6ed46f48c8f74d83,core/src/test/java/org/elasticsearch/common/path/PathTrieTests.java,PathTrieTests.java,20,5902.064207940393,3,2,0,1,1,1,11,11,0,0,16,11,238,0,25,6115.170381469493,2,2,0,0,0,0,8,8,0,0,14,8,149,28,Rename Method,Rename Method	public testSplitPath() : void renamed to public testEscapedSlashWithinUrl() : void in class org.elasticsearch.common.path.PathTrieTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/action/search/MultiSearchRequestTests.java,MultiSearchRequestTests.java,21,10916.325480738124,12,2,0,0,0,0,10,8,0,1,32,10,185,45,25,8715.090681930627,7,2,0,0,0,0,6,6,0,0,21,6,138,15,Rename Method,Rename Method	public simpleAdd() : void renamed to public testSimpleAdd() : void in class org.elasticsearch.action.search.MultiSearchRequestTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/action/search/SearchRequestBuilderTests.java,SearchRequestBuilderTests.java,37,1373.0998613704876,8,2,0,1,0,1,6,6,2,0,16,6,67,0,30,2563.3376931885787,9,2,0,1,0,1,9,9,2,0,26,9,118,0,Rename Method,Rename Method	public testStringSourceToString() : void renamed to public testSearchSourceBuilderToString() : void in class org.elasticsearch.action.search.SearchRequestBuilderTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/DiskUsageTests.java,DiskUsageTests.java,21,7051.221315650682,20,2,0,0,0,0,6,5,0,14,45,9,206,15,24,7154.649393629142,17,2,0,0,0,0,5,4,0,4,37,8,161,10,Rename Method,Rename Method	public diskUsageCalcTest() : void renamed to public testDiskUsageCalc() : void in class org.elasticsearch.cluster.DiskUsageTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/metadata/IndexNameExpressionResolverTests.java,IndexNameExpressionResolverTests.java,0,31219.779755905627,14,2,0,1,0,0,46,44,2,28,79,67,963,43,0,31470.369298207173,13,2,0,1,0,0,38,35,0,14,54,82,743,151,Rename Method,Rename Method	public testIndexOptions_strict() : void renamed to public testIndexOptionsStrict() : void in class org.elasticsearch.cluster.metadata.IndexNameExpressionResolverTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/node/DiscoveryNodeFiltersTests.java,DiscoveryNodeFiltersTests.java,18,7628.807213620797,13,2,0,1,0,1,20,19,3,61,25,22,236,34,32,2827.8836854851297,5,2,0,0,0,0,5,5,0,0,10,5,97,10,Rename Method,Rename Method	public nameMatch() : void renamed to public testNameMatch() : void in class org.elasticsearch.cluster.node.DiscoveryNodeFiltersTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/routing/allocation/AllocationCommandsTests.java,AllocationCommandsTests.java,9,20907.36022885679,22,2,0,1,0,0,7,5,0,3,76,22,459,15,13,20955.181422859903,16,2,0,1,0,0,5,5,0,0,55,14,342,4,Rename Method,Rename Method	public moveShardCommand() : void renamed to public testMoveShardCommand() : void in class org.elasticsearch.cluster.routing.allocation.AllocationCommandsTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/routing/allocation/decider/DiskThresholdDeciderTests.java,DiskThresholdDeciderTests.java,0,43892.95509622649,33,2,0,0,0,0,11,10,0,23,70,24,903,171,1,36911.5148475231,35,3,0,2,1,1,13,11,1,45,62,31,781,372,Rename Method,Rename Method	public diskThresholdTest() : void renamed to public testDiskThreshold() : void in class org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDeciderTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/cluster/serialization/DiffableTests.java,DiffableTests.java,7,3248.3847438390085,32,6,0,9,0,0,30,11,4,9,69,90,385,1621,30,3262.13338917939,15,3,0,2,1,1,6,6,0,0,25,9,111,24,Rename Method,Rename Method	public testImmutableMapDiff() : void renamed to public testJdkMapDiff() : void in class org.elasticsearch.cluster.serialization.DiffableTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/BooleansTests.java,BooleansTests.java,29,3122.5813393345734,2,2,0,2,0,2,8,8,0,0,26,14,110,22,33,3182.3115790571624,3,2,0,0,0,0,4,4,0,0,21,7,78,6,Rename Method,Rename Method	public parseBoolean() : void renamed to public testParseBoolean() : void in class org.elasticsearch.common.BooleansTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/lucene/search/MultiPhrasePrefixQueryTests.java,MultiPhrasePrefixQueryTests.java,39,1750.2980520293424,10,2,0,0,0,0,1,1,0,0,7,1,58,0,37,1750.2980520293424,13,2,0,0,0,0,2,2,0,0,11,2,72,1,Rename Method,Rename Method	public simpleTests() : void renamed to public testSimple() : void in class org.elasticsearch.common.lucene.search.MultiPhrasePrefixQueryTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/util/ArrayUtilsTests.java,ArrayUtilsTests.java,31,2618.5557518897876,2,2,0,0,0,0,4,2,0,9,18,21,90,6,34,1707.380026399913,3,2,0,0,0,0,3,1,0,9,12,18,78,3,Rename Method,Rename Method	public binarySearch() : void renamed to public testBinarySearch() : void in class org.elasticsearch.common.util.ArrayUtilsTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/util/CollectionUtilsTests.java,CollectionUtilsTests.java,23,4741.345846797165,6,2,0,0,0,0,9,9,0,25,32,25,162,36,22,4862.230728436269,7,2,0,0,0,0,9,9,0,25,33,25,168,36,Rename Method,Rename Method	public rotateEmpty() : void renamed to public testRotateEmpty() : void in class org.elasticsearch.common.util.CollectionUtilsTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/xcontent/builder/XContentBuilderTests.java,XContentBuilderTests.java,11,11192.156991721424,9,2,0,0,0,0,22,21,0,7,64,38,339,231,14,10207.517312670716,10,2,0,0,0,0,16,15,0,4,56,29,286,120,Rename Method,Rename Method	public verifyReuseJsonGenerator() : void renamed to public testReuseJsonGenerator() : void in class org.elasticsearch.common.xcontent.builder.XContentBuilderTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/common/xcontent/support/XContentMapValuesTests.java,XContentMapValuesTests.java,8,22295.870423569326,7,3,0,0,0,0,18,16,1,10,56,30,412,153,7,22517.69772869885,4,2,0,0,0,0,17,17,0,10,52,31,480,136,Rename Method,Rename Method	public prefixedNamesFilteringTest() : void renamed to public testPrefixedNamesFilteringTest() : void in class org.elasticsearch.common.xcontent.support.XContentMapValuesTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/discovery/zen/ElectMasterServiceTests.java,ElectMasterServiceTests.java,26,2067.678225226443,8,2,0,0,0,0,9,6,0,7,43,32,137,36,31,2040.217549065706,6,2,0,0,0,0,4,2,0,1,22,23,91,6,Rename Method,Rename Method	public sortByMasterLikelihood() : void renamed to public testSortByMasterLikelihood() : void in class org.elasticsearch.discovery.zen.ElectMasterServiceTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/gateway/MetaStateServiceTests.java,MetaStateServiceTests.java,33,2306.742614322445,6,2,0,1,0,1,5,5,0,0,20,5,89,4,31,2402.803151093273,7,2,0,1,0,1,6,5,0,0,23,8,103,9,Rename Method,Rename Method	public tesLoadGlobal() : void renamed to public testLoadGlobal() : void in class org.elasticsearch.gateway.MetaStateServiceTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/index/search/geo/GeoUtilsTests.java,GeoUtilsTests.java,0,36872.91249612029,11,2,0,2,0,2,37,36,1,105,58,78,544,636,0,36015.86253200882,12,2,0,2,0,2,37,36,1,105,56,78,565,636,Rename Method,Rename Method	public testQuadTreeLevelsForPrecision_String() : void renamed to public testQuadTreeLevelsForPrecisionString() : void in class org.elasticsearch.index.search.geo.GeoUtilsTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/index/snapshots/blobstore/SlicedInputStreamTests.java,SlicedInputStreamTests.java,28,2869.8138059491916,4,4,0,1,1,0,5,2,0,0,21,19,118,13,28,2831.859647575963,5,4,0,1,1,0,5,3,0,0,21,19,116,13,Rename Method,Rename Method	public readRandom() : void renamed to public testReadRandom() : void in class org.elasticsearch.index.snapshots.blobstore.SlicedInputStreamTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/index/translog/TranslogTests.java,TranslogTests.java,0,44074.57104495203,62,7,0,20,0,0,91,68,2,114,331,424,2325,1711,0,52506.81980211934,34,2,0,8,0,1,39,31,2,52,216,196,1165,53,Rename Method,Rename Method	public deleteOnSnapshotRelease() : void renamed to public testDeleteOnSnapshotRelease() : void in class org.elasticsearch.index.translog.TranslogTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/indices/store/IndicesStoreTests.java,IndicesStoreTests.java,28,6828.008499126971,9,2,0,2,0,1,4,4,0,3,20,17,93,0,21,6899.505970322019,16,2,0,3,0,1,7,7,0,1,30,29,169,0,Rename Method,Rename Method	public testShardCanBeDeleted_noShardRouting() : void renamed to public testShardCanBeDeletedNoShardRouting() : void in class org.elasticsearch.indices.store.IndicesStoreTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/search/aggregations/bucket/significant/SignificanceHeuristicTests.java,SignificanceHeuristicTests.java,7,13540.929774077502,49,5,0,0,0,0,27,11,2,16,78,47,451,351,10,13812.392711673769,35,3,0,0,0,0,17,9,0,0,50,36,366,136,Rename Method,Rename Method	public streamResponse() : void renamed to public testStreamResponse() : void in class org.elasticsearch.search.aggregations.bucket.significant.SignificanceHeuristicTests"
"f996508645f842629d403fc2e71c1890c0e2cac9,core/src/test/java/org/elasticsearch/search/aggregations/metrics/cardinality/HyperLogLogPlusPlusTests.java,HyperLogLogPlusPlusTests.java,27,3840.4693572714405,5,2,0,0,0,0,6,5,0,1,24,20,119,15,26,3936.8718242349732,6,2,0,0,0,0,6,5,0,1,24,20,125,15,Rename Method,Rename Method	public encodeDecode() : void renamed to public testEncodeDecode() : void in class org.elasticsearch.search.aggregations.metrics.cardinality.HyperLogLogPlusPlusTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/action/search/MultiSearchRequestTests.java,MultiSearchRequestTests.java,21,10916.325480738124,12,2,0,0,0,0,10,8,0,1,32,10,185,45,25,8715.090681930627,7,2,0,0,0,0,6,6,0,0,21,6,138,15,Rename Method,Rename Method	public simpleAdd() : void renamed to public testSimpleAdd() : void in class org.elasticsearch.action.search.MultiSearchRequestTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/cluster/DiskUsageTests.java,DiskUsageTests.java,21,7051.221315650682,20,2,0,0,0,0,6,5,0,14,45,9,206,15,24,7154.649393629142,17,2,0,0,0,0,5,4,0,4,37,8,161,10,Rename Method,Rename Method	public diskUsageCalcTest() : void renamed to public testDiskUsageCalc() : void in class org.elasticsearch.cluster.DiskUsageTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/cluster/metadata/IndexNameExpressionResolverTests.java,IndexNameExpressionResolverTests.java,0,31219.779755905627,14,2,0,1,0,0,46,44,2,28,79,67,963,43,0,31726.290088455342,13,2,0,1,0,0,38,35,0,14,54,82,748,151,Rename Method,Rename Method	public testIndexOptions_strict() : void renamed to public testIndexOptionsStrict() : void in class org.elasticsearch.cluster.metadata.IndexNameExpressionResolverTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/cluster/node/DiscoveryNodeFiltersTests.java,DiscoveryNodeFiltersTests.java,18,7628.807213620797,13,2,0,1,0,1,20,19,3,61,25,22,236,34,20,7736.765301691195,10,2,0,1,0,1,17,16,2,2,19,18,212,26,Rename Method,Rename Method	public nameMatch() : void renamed to public testNameMatch() : void in class org.elasticsearch.cluster.node.DiscoveryNodeFiltersTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/cluster/routing/allocation/AllocationCommandsTests.java,AllocationCommandsTests.java,9,20907.36022885679,22,2,0,1,0,0,7,5,0,3,76,22,459,15,13,20975.759444436473,16,2,0,1,0,0,5,5,0,0,55,14,342,4,Rename Method,Rename Method	public moveShardCommand() : void renamed to public testMoveShardCommand() : void in class org.elasticsearch.cluster.routing.allocation.AllocationCommandsTests"
"48e0a6745e1bdc261ee870f92619f45ad4afb44e,core/src/test/java/org/elasticsearch/cluster/routing/allocation/decider/DiskThresholdDeciderTests.java,DiskThresholdDeciderTests.java,0,43892.95509622649,33,2,0,0,0,0,11,10,0,23,70,24,903,171,0,43544.00485696064,32,2,0,0,0,0,11,10,1,51,62,30,887,351,Rename Method,Rename Method	public diskThresholdTest() : void renamed to public testDiskThreshold() : void in class org.elasticsearch.cluster.routing.allocation.decider.DiskThresholdDeciderTests"
