"286c1719879e0b5d1b0d665d4bdfdf835e0f7b40,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskImpl.java,TestTaskImpl.java,1,12444.66385148365,50,4,0,26,0,1,59,35,0,1,61,65,640,196,7,11730.555393451585,49,4,0,28,0,1,47,24,0,1,52,47,454,235,Rename Method,Rename Method	private runSpeculativeTaskAttemptSucceedsEvenIfFirstFails(failEvent TaskEventType) : void renamed to private runSpeculativeTaskAttemptSucceeds(firstAttemptFinishEvent TaskEventType) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskImpl"
"f24e0c1563bd074d2d632668e59007f2e3870b8a,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/util/TestYarnVersionInfo.java,TestYarnVersionInfo.java,45,420.4323194961016,1,1,0,0,0,0,1,1,0,0,11,1,47,0,45,415.11039140121426,2,2,0,0,0,0,1,1,0,0,11,1,46,0,Rename Method,Rename Method	public testVersionInfoGenerated() : void renamed to public versionInfoGenerated() : void in class org.apache.hadoop.yarn.util.TestYarnVersionInfo"
"0b988cd0b1d6911e994bd06f7c160bd58745f0f7,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/webapp/TestAHSWebApp.java,TestAHSWebApp.java,25,3307.535239936402,23,3,0,0,0,0,11,9,0,0,22,14,170,55,26,3295.2768100489293,21,3,0,0,0,0,10,8,0,0,21,13,158,45,Rename Method,Rename Method	public TestAHSWebApp(store ApplicationHistoryStore) renamed to public setApplicationHistoryStore(store ApplicationHistoryStore) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.TestAHSWebApp"
"498f9674ffff414af3d9284cd189b47db444f2de,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/datanode/TestBPOfferService.java,TestBPOfferService.java,5,9876.386128534432,45,1,0,15,0,5,23,14,0,5,91,47,617,211,15,8144.802801893415,38,1,0,12,0,5,13,7,0,0,65,21,328,76,Extract Method,Extract Method	private setupBPOSForNNs(mockDn DataNode, nns DatanodeProtocolClientSideTranslatorPB[]) : BPOfferService extracted from private setupBPOSForNNs(nns DatanodeProtocolClientSideTranslatorPB[]) : BPOfferService in class org.apache.hadoop.hdfs.server.datanode.TestBPOfferService"
"498f9674ffff414af3d9284cd189b47db444f2de,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/util/TestWindowsBasedProcessTree.java,TestWindowsBasedProcessTree.java,36,1266.8479066179646,5,2,0,2,0,1,3,2,0,0,15,5,81,1,38,1277.1744752985587,6,3,0,2,0,1,3,2,0,0,11,5,68,1,Rename Method,Rename Method	public testTree() : void renamed to public tree() : void in class org.apache.hadoop.yarn.util.TestWindowsBasedProcessTree"
"498f9674ffff414af3d9284cd189b47db444f2de,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-common/src/test/java/org/apache/hadoop/yarn/util/TestYarnVersionInfo.java,TestYarnVersionInfo.java,45,420.4323194961016,1,1,0,0,0,0,1,1,0,0,11,1,47,0,45,415.11039140121426,2,2,0,0,0,0,1,1,0,0,11,1,46,0,Rename Method,Rename Method	public testVersionInfoGenerated() : void renamed to public versionInfoGenerated() : void in class org.apache.hadoop.yarn.util.TestYarnVersionInfo"
"04927286274c28095fc76f2b72112afd00218d45,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/webapp/TestAHSWebApp.java,TestAHSWebApp.java,25,3307.535239936402,23,3,0,0,0,0,11,9,0,0,22,14,170,55,26,3295.2768100489293,21,3,0,0,0,0,10,8,0,0,21,13,158,45,Rename Method,Rename Method	public TestAHSWebApp(store ApplicationHistoryStore) renamed to public setApplicationHistoryStore(store ApplicationHistoryStore) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.TestAHSWebApp"
"f065f5829282e98dcf3bcb09b7cfc50734bd524f,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java,TestFsPermission.java,2,23652.47900827329,4,2,0,0,0,0,9,8,0,4,26,42,678,36,2,22391.799856894693,4,2,0,0,0,0,9,8,0,3,25,40,672,36,Rename Method,Rename Method	public testStickyBitToString() : void renamed to public testSpecialBitsToString() : void in class org.apache.hadoop.fs.permission.TestFsPermission"
"e5ccec944a4483533980e8b20251cd25fcfce3cc,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestFSImage.java,TestFSImage.java,21,2511.6805470384234,16,1,0,1,0,1,7,6,0,5,68,19,255,21,34,1769.7185136686683,15,1,0,4,0,0,3,3,0,1,28,5,90,0,Rename Method,Rename Method	public testINode() : void renamed to private testPersistHelper(conf Configuration) : void in class org.apache.hadoop.hdfs.server.namenode.TestFSImage"
"1b20412d0624f543f49600bf9d349962a9ebefdf,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/webapp/TestAHSWebApp.java,TestAHSWebApp.java,25,3307.535239936402,23,3,0,0,0,0,11,9,0,0,22,14,170,55,26,3295.2768100489293,21,3,0,0,0,0,10,8,0,0,21,13,158,45,Rename Method,Rename Method	public TestAHSWebApp(store ApplicationHistoryStore) renamed to public setApplicationHistoryStore(store ApplicationHistoryStore) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.webapp.TestAHSWebApp"
"2a20fe8370c83c7472632871a396811b1e4d4463,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"be75f21b6fd9d79fbf6413a2a9658d16a666fba7,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"ad6f4b98093a0e26c5c1ff49076ccff635255505,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"10ef8a4b56e84cf4f33202b1b2d253decc431898,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"bf0ffb6085920daaf7ff1a26037f85da02064ad2,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"067d52b98c1d17a73b142bb53acc8aaa9c041f38,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/mapred/TestCopyMapper.java,TestCopyMapper.java,0,30088.853679930715,28,1,0,9,0,9,35,16,14,95,107,121,911,59,0,28179.849448460656,24,1,0,8,0,8,27,14,10,79,89,102,783,0,Extract Method,Extract Method	private testCopy(preserveChecksum boolean) : void extracted from public testRun() : void in class org.apache.hadoop.tools.mapred.TestCopyMapper"
"c21e39b79b4a8bfd26cab523e2efdeb5d4aaf65f,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/mapred/TestCopyMapper.java,TestCopyMapper.java,0,30088.853679930715,28,1,0,9,0,9,35,16,14,95,107,121,911,59,0,28179.849448460656,24,1,0,8,0,8,27,14,10,79,89,102,783,0,Extract Method,Extract Method	private testCopy(preserveChecksum boolean) : void extracted from public testRun() : void in class org.apache.hadoop.tools.mapred.TestCopyMapper"
"f2972402b78b75874599666482332fa5f51351fa,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-app/src/test/java/org/apache/hadoop/mapreduce/v2/app/job/impl/TestTaskAttempt.java,TestTaskAttempt.java,0,27565.015750861578,65,3,0,1,1,0,33,25,0,4,82,45,1072,559,3,26909.423728523354,61,3,0,1,1,0,21,15,0,2,73,33,640,229,Rename Method,Rename Method	public verifySlotMillis(mapMemMb int, reduceMemMb int, minContainerSize int) : void renamed to public verifyMillisCounters(mapMemMb int, reduceMemMb int, minContainerSize int) : void in class org.apache.hadoop.mapreduce.v2.app.job.impl.TestTaskAttempt"
"f2972402b78b75874599666482332fa5f51351fa,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/mapred/TestCopyMapper.java,TestCopyMapper.java,0,30088.853679930715,28,1,0,9,0,9,35,16,14,95,107,121,911,59,0,28179.849448460656,24,1,0,8,0,8,27,14,10,79,89,102,783,0,Extract Method,Extract Method	private testCopy(preserveChecksum boolean) : void extracted from public testRun() : void in class org.apache.hadoop.tools.mapred.TestCopyMapper"
"9e8cabf8ceb8f1b8f73d5d2dd20ec69689b67d2e,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/mapred/TestCopyMapper.java,TestCopyMapper.java,0,30088.853679930715,28,1,0,9,0,9,35,16,14,95,107,121,911,59,0,28179.849448460656,24,1,0,8,0,8,27,14,10,79,89,102,783,0,Extract Method,Extract Method	private testCopy(preserveChecksum boolean) : void extracted from public testRun() : void in class org.apache.hadoop.tools.mapred.TestCopyMapper"
"ebe0c17a95ae37d4768f2928ea193e89db34ead5,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,24339.797661868444,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,2,22323.91468289831,68,1,0,8,0,6,22,13,5,27,124,47,616,371,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"2017bac9e4b0941c0ef627d0babddbd175acd4b8,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,23710.71182990445,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,3,21700.31327785707,66,1,0,8,0,6,21,12,5,26,123,46,602,342,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"11f7ae9ac25288f2e534cdc6b67e03f8a9956680,hadoop-tools/hadoop-distcp/src/test/java/org/apache/hadoop/tools/mapred/TestCopyMapper.java,TestCopyMapper.java,0,30088.853679930715,28,1,0,9,0,9,35,16,14,95,107,121,911,59,0,28179.849448460656,24,1,0,8,0,8,27,14,10,79,89,102,783,0,Extract Method,Extract Method	private testCopy(preserveChecksum boolean) : void extracted from public testRun() : void in class org.apache.hadoop.tools.mapred.TestCopyMapper"
"11f7ae9ac25288f2e534cdc6b67e03f8a9956680,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,24339.797661868444,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,3,21700.31327785707,66,1,0,8,0,6,21,12,5,26,123,46,602,342,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"ccf08d9dc8f88c77d38810cbea4881d94076216c,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,24339.797661868444,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,2,22323.91468289831,68,1,0,8,0,6,22,13,5,27,124,47,616,371,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"c6505f0499bc925fcc909f1c4eed89ba0c9098f7,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,24339.797661868444,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,3,21700.31327785707,66,1,0,8,0,6,21,12,5,26,123,46,602,342,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"0185a5784712d9b6e23d9d8c7624cd4e4886cab8,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/TestFileSystemApplicationHistoryStore.java,TestFileSystemApplicationHistoryStore.java,16,5319.665288693714,20,2,0,3,0,1,14,9,0,0,60,36,274,27,23,4440.800941192049,16,2,0,2,0,0,7,5,0,0,40,18,176,15,Extract Method,Extract Method	private testWriteHistoryData(num int, missingContainer boolean, missingApplicationAttempt boolean) : void extracted from private testWriteHistoryData(num int) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.TestFileSystemApplicationHistoryStore"
"c244093fe28af4b4b1772624dece640129c38cec,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/TestFileSystemApplicationHistoryStore.java,TestFileSystemApplicationHistoryStore.java,16,5319.665288693714,20,2,0,3,0,1,14,9,0,0,60,36,274,27,23,4440.800941192049,16,2,0,2,0,0,7,5,0,0,40,18,176,15,Extract Method,Extract Method	private testWriteHistoryData(num int, missingContainer boolean, missingApplicationAttempt boolean) : void extracted from private testWriteHistoryData(num int) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.TestFileSystemApplicationHistoryStore"
"a49dee06fb2e13de5fbeecf101cc0777bef547b1,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/TestFileSystemApplicationHistoryStore.java,TestFileSystemApplicationHistoryStore.java,16,5319.665288693714,20,2,0,3,0,1,14,9,0,0,60,36,274,27,23,4440.800941192049,16,2,0,2,0,0,7,5,0,0,40,18,176,15,Extract Method,Extract Method	private testWriteHistoryData(num int, missingContainer boolean, missingApplicationAttempt boolean) : void extracted from private testWriteHistoryData(num int) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.TestFileSystemApplicationHistoryStore"
"ba4b10354c485b7285c268f5ccdf2615d8c1c482,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-applicationhistoryservice/src/test/java/org/apache/hadoop/yarn/server/applicationhistoryservice/TestFileSystemApplicationHistoryStore.java,TestFileSystemApplicationHistoryStore.java,16,5319.665288693714,20,2,0,3,0,1,14,9,0,0,60,36,274,27,23,4440.800941192049,16,2,0,2,0,0,7,5,0,0,40,18,176,15,Extract Method,Extract Method	private testWriteHistoryData(num int, missingContainer boolean, missingApplicationAttempt boolean) : void extracted from private testWriteHistoryData(num int) : void in class org.apache.hadoop.yarn.server.applicationhistoryservice.TestFileSystemApplicationHistoryStore"
"2fc514b72e09a3e6176de459a4303d6caf7667db,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java,TestFsPermission.java,2,22686.071738113435,4,2,0,0,0,0,9,8,0,4,26,42,678,36,2,22391.799856894693,4,2,0,0,0,0,9,8,0,3,25,40,672,36,Rename Method,Rename Method	public testStickyBitToString() : void renamed to public testSpecialBitsToString() : void in class org.apache.hadoop.fs.permission.TestFsPermission"
"72c214c89bed15e1c4b97c1f922d564f54491fed,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java,TestFsPermission.java,2,22686.071738113435,4,2,0,0,0,0,9,8,0,4,26,42,678,36,2,22391.799856894693,4,2,0,0,0,0,9,8,0,3,25,40,672,36,Rename Method,Rename Method	public testStickyBitToString() : void renamed to public testSpecialBitsToString() : void in class org.apache.hadoop.fs.permission.TestFsPermission"
"2244459186f82e9129c8a6783f213fc586da4add,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java,TestFsPermission.java,2,22686.071738113435,4,2,0,0,0,0,9,8,0,4,26,42,678,36,2,22391.799856894693,4,2,0,0,0,0,9,8,0,3,25,40,672,36,Rename Method,Rename Method	public testStickyBitToString() : void renamed to public testSpecialBitsToString() : void in class org.apache.hadoop.fs.permission.TestFsPermission"
"30219bff7d26e551f26e6a0ccc9af0ebd8bf308e,hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/fs/permission/TestFsPermission.java,TestFsPermission.java,2,22686.071738113435,4,2,0,0,0,0,9,8,0,4,26,42,678,36,2,22391.799856894693,4,2,0,0,0,0,9,8,0,3,25,40,672,36,Rename Method,Rename Method	public testStickyBitToString() : void renamed to public testSpecialBitsToString() : void in class org.apache.hadoop.fs.permission.TestFsPermission"
"95ebf9ecc4809b8a977a0a847515649486a004c4,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,TestAuthenticationFilter.java,0,24125.672768659195,31,1,0,6,5,6,29,25,4,52,96,65,865,179,1,24601.147221120074,20,1,0,5,5,5,23,22,1,29,68,51,649,135,Extract Method,Extract Method	private verifyUnauthorized(filter AuthenticationFilter, request HttpServletRequest, response HttpServletResponse, chain FilterChain) : void extracted from public testDoFilterAuthenticatedExpired() : void in class org.apache.hadoop.security.authentication.server.TestAuthenticationFilter"
"4cc5a8dbdb3ac35e71c1f7dc366f9fc3e75cb231,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,TestAuthenticationFilter.java,0,24125.672768659195,31,1,0,6,5,6,29,25,4,52,96,65,865,179,1,24601.147221120074,20,1,0,5,5,5,23,22,1,29,68,51,649,135,Extract Method,Extract Method	private verifyUnauthorized(filter AuthenticationFilter, request HttpServletRequest, response HttpServletResponse, chain FilterChain) : void extracted from public testDoFilterAuthenticatedExpired() : void in class org.apache.hadoop.security.authentication.server.TestAuthenticationFilter"
"b47729316ee798cb05500b906f841f6725c5f723,hadoop-common-project/hadoop-auth/src/test/java/org/apache/hadoop/security/authentication/server/TestAuthenticationFilter.java,TestAuthenticationFilter.java,0,24125.672768659195,31,1,0,6,5,6,29,25,4,52,96,65,865,179,1,24601.147221120074,20,1,0,5,5,5,23,22,1,29,68,51,649,135,Extract Method,Extract Method	private verifyUnauthorized(filter AuthenticationFilter, request HttpServletRequest, response HttpServletResponse, chain FilterChain) : void extracted from public testDoFilterAuthenticatedExpired() : void in class org.apache.hadoop.security.authentication.server.TestAuthenticationFilter"
"0f595915a388305edbb3ce928415571811d304e8,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,28,2746.5966365110676,11,2,0,2,0,2,4,3,0,1,29,9,139,6,Rename Method,Rename Method	public testImageTransferTimeout() : void renamed to public testGetImageTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"dbd22b23c2d68b97b4da47215897906f06f978e3,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,24,2746.5966365110676,13,2,0,2,0,2,6,4,0,2,42,13,191,15,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,Rename Method,Rename Method	public testGetImageTimeout() : void renamed to public testImageTransferTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"94a1632fcb677fda6f4d812614026417f1d0a360,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,28,2746.5966365110676,11,2,0,2,0,2,4,3,0,1,29,9,139,6,Rename Method,Rename Method	public testImageTransferTimeout() : void renamed to public testGetImageTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"7da07461ffadb462567c81ad155d3d1473ad89d7,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,26598.54430161524,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,1,24339.797661868444,68,1,0,8,0,6,23,13,5,28,131,48,656,401,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>, unmanaged boolean) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"8d6fb7e9203f09618a796970b51a564dc1ff4185,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,26598.54430161524,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,1,24339.797661868444,68,1,0,8,0,6,23,13,5,28,131,48,656,401,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>, unmanaged boolean) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"f93cc4d3d4edb74a728ba5254274e61c57ae66b9,hadoop-yarn-project/hadoop-yarn/hadoop-yarn-server/hadoop-yarn-server-resourcemanager/src/test/java/org/apache/hadoop/yarn/server/resourcemanager/TestClientRMService.java,TestClientRMService.java,0,26598.54430161524,116,1,0,16,0,14,41,27,5,57,227,105,1396,1400,1,24339.797661868444,68,1,0,8,0,6,23,13,5,28,131,48,656,401,Extract Method,Extract Method	private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>, unmanaged boolean) : SubmitApplicationRequest extracted from private mockSubmitAppRequest(appId ApplicationId, name String, queue String, tags Set<String>) : SubmitApplicationRequest in class org.apache.hadoop.yarn.server.resourcemanager.TestClientRMService"
"1356761f0fc231c476553f2b90a48a29b0a040c4,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,28,2746.5966365110676,11,2,0,2,0,2,4,3,0,1,29,9,139,6,Rename Method,Rename Method	public testImageTransferTimeout() : void renamed to public testGetImageTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"0697a50337804f3ab920cd771dd071fa42926ea2,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,24,2746.5966365110676,13,2,0,2,0,2,6,4,0,2,42,13,191,15,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,Rename Method,Rename Method	public testGetImageTimeout() : void renamed to public testImageTransferTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"0f7d99268c6be154ce113d9b076595871d2d4772,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,28,2746.5966365110676,11,2,0,2,0,2,4,3,0,1,29,9,139,6,Rename Method,Rename Method	public testImageTransferTimeout() : void renamed to public testGetImageTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
"881882776c70de8f964425e364b5bc87d20651a9,hadoop-hdfs-project/hadoop-hdfs/src/test/java/org/apache/hadoop/hdfs/server/namenode/TestTransferFsImage.java,TestTransferFsImage.java,23,4120.60437509865,13,2,0,2,0,2,6,4,0,2,42,13,191,15,28,2746.5966365110676,11,2,0,2,0,2,4,3,0,1,29,9,139,6,Rename Method,Rename Method	public testImageTransferTimeout() : void renamed to public testGetImageTimeout() : void in class org.apache.hadoop.hdfs.server.namenode.TestTransferFsImage"
